hotel,r1_f1,r2_f1,rl_f1,r1_r,r1_p,r2_r,r2_p,rl_r,rl_p
"Boracay Ocean Club Beach Resort",0.4774,0.0915,0.2065,0.4568,0.5,0.0875,0.0959,0.1975,0.2162
"Miniloc Island",0.4167,0.0241,0.2381,0.4118,0.4217,0.0238,0.0244,0.2353,0.241
"Cauayan Island Resort",0.4783,0.0882,0.2029,0.4521,0.5077,0.0833,0.0938,0.1918,0.2154
"Spin Designer Hostel",0.543,0.255,0.2649,0.4556,0.6721,0.2135,0.3167,0.2222,0.3279
"Happiness Hostel",0.5233,0.1765,0.3256,0.5114,0.5357,0.1724,0.1807,0.3182,0.3333
"Henann Palm Beach Resort",0.4823,0.1439,0.2553,0.4857,0.4789,0.1449,0.1429,0.2571,0.2535

macro_r1_f1,0.4868,macro_r2_f1,0.1299,macro_rl_f1,0.2489,n,6
